,AUC Article Title,Titles,Journals,doi,Cross Ref Links,links,CiteScore,Open Access,ISSN,resurchify Links,Impact factor,H-Index
0,Polymer Nanotube Composites: Promises and Current Challenges,unknown,unknown,unknown,unknown,https://journalsearches.com/journal.php?title=unknown,,,,https://www.resurchify.com/find/?query=,,
1,Polymer Nanotube Composites: Promises and Current Challenges,Nanocomposites in context,Composites Science and Technology,10.1016/j.compscitech.2004.11.003,https://api.crossref.org/works/10.1016/j.compscitech.2004.11.003.xml,https://journalsearches.com/journal.php?title=Composites Science and Technology,12.9, NO,02663538,https://www.resurchify.com/find/?query=02663538,,
2,Polymer Nanotube Composites: Promises and Current Challenges,The revolutionary creation of new advanced materials—carbon nanotube composites,Composites Part B: Engineering,10.1016/S1359-8368(02)00012-4,https://api.crossref.org/works/10.1016/S1359-8368(02)00012-4.xml,https://journalsearches.com/journal.php?title=Composites Part B: Engineering,14.5, NO,13598368,https://www.resurchify.com/find/?query=13598368,10.91,163
3,Polymer Nanotube Composites: Promises and Current Challenges,Mechanical properties of carbon nanotubes: a fiber digest for beginners,Carbon,10.1016/S0008-6223(02)00012-X,https://api.crossref.org/works/10.1016/S0008-6223(02)00012-X.xml,https://journalsearches.com/journal.php?title=Carbon,15.7, NO,00086223,https://www.resurchify.com/find/?query=00086223,,
4,Polymer Nanotube Composites: Promises and Current Challenges,Mechanical properties of carbon nanotubes: theoretical predictions and experimental measurements,Comptes Rendus Physique,10.1016/j.crhy.2003.08.001,https://api.crossref.org/works/10.1016/j.crhy.2003.08.001.xml,https://journalsearches.com/journal.php?title=Comptes Rendus Physique,2.1, NO,16310705,https://www.resurchify.com/find/?query=16310705,1.50,73
5,Polymer Nanotube Composites: Promises and Current Challenges,Big returns from small fibers: A review of polymer/carbon nanotube composites,Polymer Composites,10.1002/pc.20058,https://api.crossref.org/works/10.1002/pc.20058.xml,https://journalsearches.com/journal.php?title=Polymer Composites,4.5, NO,02728397,https://www.resurchify.com/find/?query=02728397,3.39,87
6,Polymer Nanotube Composites: Promises and Current Challenges,Realistic applications of CNTs,Materials Today,10.1016/S1369-7021(04)00448-1,https://api.crossref.org/works/10.1016/S1369-7021(04)00448-1.xml,https://journalsearches.com/journal.php?title=Materials Today,31.4, NO,13697021,https://www.resurchify.com/find/?query=13697021,21.66,194
7,Polymer Nanotube Composites: Promises and Current Challenges,Carbon nanotube reinforced composites: Potential and current challenges,Materials & Design,10.1016/j.matdes.2006.09.022,https://api.crossref.org/works/10.1016/j.matdes.2006.09.022.xml,https://journalsearches.com/journal.php?title=Materials & Design,4.2, YES,,https://www.resurchify.com/find/?query=,,
8,Polymer Nanotube Composites: Promises and Current Challenges,Dispersion and alignment of carbon nanotubes in polymer matrix: A review,Materials Science and Engineering: R: Reports,10.1016/j.mser.2005.04.002,https://api.crossref.org/works/10.1016/j.mser.2005.04.002.xml,https://journalsearches.com/journal.php?title=Materials Science and Engineering: R: Reports,41.7, NO,0927796X,https://www.resurchify.com/find/?query=0927796X,32.14,151
9,Polymer Nanotube Composites: Promises and Current Challenges,Fabrication of Carbon Multiwall Nanotube/Polymer Composites by Shear Mixing,Macromolecular Materials and Engineering,10.1002/1439-2054(20020601)287:6<395::AID-MAME395>3.0.CO;2-S,https://api.crossref.org/works/10.1002/1439-2054(20020601)287:6<395::AID-MAME395>3.0.CO;2-S.xml,https://journalsearches.com/journal.php?title=Macromolecular Materials and Engineering,6.5, NO,14387492,https://www.resurchify.com/find/?query=14387492,4.23,104
